Year,Month,Initial_link,Initial_link,Center,Right,Union,Final_link
2000,june,http://datos.imss.gob.mx/node/595/download,http://datos.imss.gob.mx/node/,600,/download,http://datos.imss.gob.mx/node/600/download,http://datos.imss.gob.mx/node/600/download
2000,july,http://datos.imss.gob.mx/node/595/download,http://datos.imss.gob.mx/node/,601,/download,http://datos.imss.gob.mx/node/601/download,http://datos.imss.gob.mx/node/601/download
2000,august,http://datos.imss.gob.mx/node/595/download,http://datos.imss.gob.mx/node/,602,/download,http://datos.imss.gob.mx/node/602/download,http://datos.imss.gob.mx/node/602/download
2000,september,http://datos.imss.gob.mx/node/595/download,http://datos.imss.gob.mx/node/,603,/download,http://datos.imss.gob.mx/node/603/download,http://datos.imss.gob.mx/node/603/download
2000,october,http://datos.imss.gob.mx/node/595/download,http://datos.imss.gob.mx/node/,604,/download,http://datos.imss.gob.mx/node/604/download,http://datos.imss.gob.mx/node/604/download
2000,november,http://datos.imss.gob.mx/node/595/download,http://datos.imss.gob.mx/node/,605,/download,http://datos.imss.gob.mx/node/605/download,http://datos.imss.gob.mx/node/605/download
2000,december,http://datos.imss.gob.mx/node/595/download,http://datos.imss.gob.mx/node/,506,/download,http://datos.imss.gob.mx/node/506/download,http://datos.imss.gob.mx/node/506/download
2001,january,http://datos.imss.gob.mx/node/558/download,http://datos.imss.gob.mx/node/,558,/download,http://datos.imss.gob.mx/node/558/download,http://datos.imss.gob.mx/node/558/download
2001,february,http://datos.imss.gob.mx/node/558/download,http://datos.imss.gob.mx/node/,559,/download,http://datos.imss.gob.mx/node/559/download,http://datos.imss.gob.mx/node/559/download
2001,march,http://datos.imss.gob.mx/node/558/download,http://datos.imss.gob.mx/node/,560,/download,http://datos.imss.gob.mx/node/560/download,http://datos.imss.gob.mx/node/560/download
2001,april,http://datos.imss.gob.mx/node/558/download,http://datos.imss.gob.mx/node/,561,/download,http://datos.imss.gob.mx/node/561/download,http://datos.imss.gob.mx/node/561/download
2001,may,http://datos.imss.gob.mx/node/558/download,http://datos.imss.gob.mx/node/,562,/download,http://datos.imss.gob.mx/node/562/download,http://datos.imss.gob.mx/node/562/download
2001,june,http://datos.imss.gob.mx/node/558/download,http://datos.imss.gob.mx/node/,563,/download,http://datos.imss.gob.mx/node/563/download,http://datos.imss.gob.mx/node/563/download
2001,july,http://datos.imss.gob.mx/node/558/download,http://datos.imss.gob.mx/node/,564,/download,http://datos.imss.gob.mx/node/564/download,http://datos.imss.gob.mx/node/564/download
2001,august,http://datos.imss.gob.mx/node/558/download,http://datos.imss.gob.mx/node/,565,/download,http://datos.imss.gob.mx/node/565/download,http://datos.imss.gob.mx/node/565/download
2001,september,http://datos.imss.gob.mx/node/558/download,http://datos.imss.gob.mx/node/,566,/download,http://datos.imss.gob.mx/node/566/download,http://datos.imss.gob.mx/node/566/download
2001,october,http://datos.imss.gob.mx/node/558/download,http://datos.imss.gob.mx/node/,567,/download,http://datos.imss.gob.mx/node/567/download,http://datos.imss.gob.mx/node/567/download
2001,november,http://datos.imss.gob.mx/node/558/download,http://datos.imss.gob.mx/node/,568,/download,http://datos.imss.gob.mx/node/568/download,http://datos.imss.gob.mx/node/568/download
2001,december,http://datos.imss.gob.mx/node/558/download,http://datos.imss.gob.mx/node/,508,/download,http://datos.imss.gob.mx/node/508/download,http://datos.imss.gob.mx/node/508/download
2002,january,http://datos.imss.gob.mx/node/549/download,http://datos.imss.gob.mx/node/,549,/download,http://datos.imss.gob.mx/node/549/download,http://datos.imss.gob.mx/node/549/download
2002,february,http://datos.imss.gob.mx/node/549/download,http://datos.imss.gob.mx/node/,550,/download,http://datos.imss.gob.mx/node/550/download,http://datos.imss.gob.mx/node/550/download
2002,march,http://datos.imss.gob.mx/node/549/download,http://datos.imss.gob.mx/node/,551,/download,http://datos.imss.gob.mx/node/551/download,http://datos.imss.gob.mx/node/551/download
2002,april,http://datos.imss.gob.mx/node/549/download,http://datos.imss.gob.mx/node/,545,/download,http://datos.imss.gob.mx/node/545/download,http://datos.imss.gob.mx/node/545/download
2002,may,http://datos.imss.gob.mx/node/549/download,http://datos.imss.gob.mx/node/,546,/download,http://datos.imss.gob.mx/node/546/download,http://datos.imss.gob.mx/node/546/download
2002,june,http://datos.imss.gob.mx/node/549/download,http://datos.imss.gob.mx/node/,552,/download,http://datos.imss.gob.mx/node/552/download,http://datos.imss.gob.mx/node/552/download
2002,july,http://datos.imss.gob.mx/node/549/download,http://datos.imss.gob.mx/node/,553,/download,http://datos.imss.gob.mx/node/553/download,http://datos.imss.gob.mx/node/553/download
2002,august,http://datos.imss.gob.mx/node/549/download,http://datos.imss.gob.mx/node/,554,/download,http://datos.imss.gob.mx/node/554/download,http://datos.imss.gob.mx/node/554/download
2002,september,http://datos.imss.gob.mx/node/549/download,http://datos.imss.gob.mx/node/,555,/download,http://datos.imss.gob.mx/node/555/download,http://datos.imss.gob.mx/node/555/download
2002,october,http://datos.imss.gob.mx/node/549/download,http://datos.imss.gob.mx/node/,556,/download,http://datos.imss.gob.mx/node/556/download,http://datos.imss.gob.mx/node/556/download
2002,november,http://datos.imss.gob.mx/node/549/download,http://datos.imss.gob.mx/node/,557,/download,http://datos.imss.gob.mx/node/557/download,http://datos.imss.gob.mx/node/557/download
2002,december,http://datos.imss.gob.mx/node/549/download,http://datos.imss.gob.mx/node/,511,/download,http://datos.imss.gob.mx/node/511/download,http://datos.imss.gob.mx/node/511/download
2003,january,http://datos.imss.gob.mx/node/515/download,http://datos.imss.gob.mx/node/,515,/download,http://datos.imss.gob.mx/node/515/download,http://datos.imss.gob.mx/node/515/download
2003,february,http://datos.imss.gob.mx/node/515/download,http://datos.imss.gob.mx/node/,516,/download,http://datos.imss.gob.mx/node/516/download,http://datos.imss.gob.mx/node/516/download
2003,march,http://datos.imss.gob.mx/node/515/download,http://datos.imss.gob.mx/node/,517,/download,http://datos.imss.gob.mx/node/517/download,http://datos.imss.gob.mx/node/517/download
2003,april,http://datos.imss.gob.mx/node/515/download,http://datos.imss.gob.mx/node/,518,/download,http://datos.imss.gob.mx/node/518/download,http://datos.imss.gob.mx/node/518/download
2003,may,http://datos.imss.gob.mx/node/515/download,http://datos.imss.gob.mx/node/,519,/download,http://datos.imss.gob.mx/node/519/download,http://datos.imss.gob.mx/node/519/download
2003,june,http://datos.imss.gob.mx/node/515/download,http://datos.imss.gob.mx/node/,520,/download,http://datos.imss.gob.mx/node/520/download,http://datos.imss.gob.mx/node/520/download
2003,july,http://datos.imss.gob.mx/node/515/download,http://datos.imss.gob.mx/node/,521,/download,http://datos.imss.gob.mx/node/521/download,http://datos.imss.gob.mx/node/521/download
2003,august,http://datos.imss.gob.mx/node/515/download,http://datos.imss.gob.mx/node/,522,/download,http://datos.imss.gob.mx/node/522/download,http://datos.imss.gob.mx/node/522/download
2003,september,http://datos.imss.gob.mx/node/515/download,http://datos.imss.gob.mx/node/,523,/download,http://datos.imss.gob.mx/node/523/download,http://datos.imss.gob.mx/node/523/download
2003,october,http://datos.imss.gob.mx/node/515/download,http://datos.imss.gob.mx/node/,524,/download,http://datos.imss.gob.mx/node/524/download,http://datos.imss.gob.mx/node/524/download
2003,november,http://datos.imss.gob.mx/node/515/download,http://datos.imss.gob.mx/node/,525,/download,http://datos.imss.gob.mx/node/525/download,http://datos.imss.gob.mx/node/525/download
2003,december,http://datos.imss.gob.mx/node/515/download,http://datos.imss.gob.mx/node/,512,/download,http://datos.imss.gob.mx/node/512/download,http://datos.imss.gob.mx/node/512/download
2004,january,http://datos.imss.gob.mx/node/387/download,http://datos.imss.gob.mx/node/,387,/download,http://datos.imss.gob.mx/node/387/download,http://datos.imss.gob.mx/node/387/download
2004,february,http://datos.imss.gob.mx/node/387/download,http://datos.imss.gob.mx/node/,388,/download,http://datos.imss.gob.mx/node/388/download,http://datos.imss.gob.mx/node/388/download
2004,march,http://datos.imss.gob.mx/node/387/download,http://datos.imss.gob.mx/node/,389,/download,http://datos.imss.gob.mx/node/389/download,http://datos.imss.gob.mx/node/389/download
2004,april,http://datos.imss.gob.mx/node/387/download,http://datos.imss.gob.mx/node/,390,/download,http://datos.imss.gob.mx/node/390/download,http://datos.imss.gob.mx/node/390/download
2004,may,http://datos.imss.gob.mx/node/387/download,http://datos.imss.gob.mx/node/,391,/download,http://datos.imss.gob.mx/node/391/download,http://datos.imss.gob.mx/node/391/download
2004,june,http://datos.imss.gob.mx/node/387/download,http://datos.imss.gob.mx/node/,392,/download,http://datos.imss.gob.mx/node/392/download,http://datos.imss.gob.mx/node/392/download
2004,july,http://datos.imss.gob.mx/node/387/download,http://datos.imss.gob.mx/node/,393,/download,http://datos.imss.gob.mx/node/393/download,http://datos.imss.gob.mx/node/393/download
2004,august,http://datos.imss.gob.mx/node/387/download,http://datos.imss.gob.mx/node/,394,/download,http://datos.imss.gob.mx/node/394/download,http://datos.imss.gob.mx/node/394/download
2004,september,http://datos.imss.gob.mx/node/387/download,http://datos.imss.gob.mx/node/,395,/download,http://datos.imss.gob.mx/node/395/download,http://datos.imss.gob.mx/node/395/download
2004,october,http://datos.imss.gob.mx/node/387/download,http://datos.imss.gob.mx/node/,396,/download,http://datos.imss.gob.mx/node/396/download,http://datos.imss.gob.mx/node/396/download
2004,november,http://datos.imss.gob.mx/node/387/download,http://datos.imss.gob.mx/node/,397,/download,http://datos.imss.gob.mx/node/397/download,http://datos.imss.gob.mx/node/397/download
2004,december,http://datos.imss.gob.mx/node/387/download,http://datos.imss.gob.mx/node/,398,/download,http://datos.imss.gob.mx/node/398/download,http://datos.imss.gob.mx/node/398/download
2005,january,http://datos.imss.gob.mx/node/333/download,http://datos.imss.gob.mx/node/,333,/download,http://datos.imss.gob.mx/node/333/download,http://datos.imss.gob.mx/node/333/download
2005,february,http://datos.imss.gob.mx/node/333/download,http://datos.imss.gob.mx/node/,334,/download,http://datos.imss.gob.mx/node/334/download,http://datos.imss.gob.mx/node/334/download
2005,march,http://datos.imss.gob.mx/node/333/download,http://datos.imss.gob.mx/node/,335,/download,http://datos.imss.gob.mx/node/335/download,http://datos.imss.gob.mx/node/335/download
2005,april,http://datos.imss.gob.mx/node/333/download,http://datos.imss.gob.mx/node/,336,/download,http://datos.imss.gob.mx/node/336/download,http://datos.imss.gob.mx/node/336/download
2005,may,http://datos.imss.gob.mx/node/333/download,http://datos.imss.gob.mx/node/,337,/download,http://datos.imss.gob.mx/node/337/download,http://datos.imss.gob.mx/node/337/download
2005,june,http://datos.imss.gob.mx/node/333/download,http://datos.imss.gob.mx/node/,338,/download,http://datos.imss.gob.mx/node/338/download,http://datos.imss.gob.mx/node/338/download
2005,july,http://datos.imss.gob.mx/node/333/download,http://datos.imss.gob.mx/node/,339,/download,http://datos.imss.gob.mx/node/339/download,http://datos.imss.gob.mx/node/339/download
2005,august,http://datos.imss.gob.mx/node/333/download,http://datos.imss.gob.mx/node/,340,/download,http://datos.imss.gob.mx/node/340/download,http://datos.imss.gob.mx/node/340/download
2005,september,http://datos.imss.gob.mx/node/333/download,http://datos.imss.gob.mx/node/,341,/download,http://datos.imss.gob.mx/node/341/download,http://datos.imss.gob.mx/node/341/download
2005,october,http://datos.imss.gob.mx/node/333/download,http://datos.imss.gob.mx/node/,342,/download,http://datos.imss.gob.mx/node/342/download,http://datos.imss.gob.mx/node/342/download
2005,november,http://datos.imss.gob.mx/node/333/download,http://datos.imss.gob.mx/node/,343,/download,http://datos.imss.gob.mx/node/343/download,http://datos.imss.gob.mx/node/343/download
2005,december,http://datos.imss.gob.mx/node/333/download,http://datos.imss.gob.mx/node/,344,/download,http://datos.imss.gob.mx/node/344/download,http://datos.imss.gob.mx/node/344/download
2006,january,http://datos.imss.gob.mx/node/294/download,http://datos.imss.gob.mx/node/,294,/download,http://datos.imss.gob.mx/node/294/download,http://datos.imss.gob.mx/node/294/download
2006,february,http://datos.imss.gob.mx/node/294/download,http://datos.imss.gob.mx/node/,295,/download,http://datos.imss.gob.mx/node/295/download,http://datos.imss.gob.mx/node/295/download
2006,march,http://datos.imss.gob.mx/node/294/download,http://datos.imss.gob.mx/node/,296,/download,http://datos.imss.gob.mx/node/296/download,http://datos.imss.gob.mx/node/296/download
2006,april,http://datos.imss.gob.mx/node/294/download,http://datos.imss.gob.mx/node/,297,/download,http://datos.imss.gob.mx/node/297/download,http://datos.imss.gob.mx/node/297/download
2006,may,http://datos.imss.gob.mx/node/294/download,http://datos.imss.gob.mx/node/,298,/download,http://datos.imss.gob.mx/node/298/download,http://datos.imss.gob.mx/node/298/download
2006,june,http://datos.imss.gob.mx/node/294/download,http://datos.imss.gob.mx/node/,299,/download,http://datos.imss.gob.mx/node/299/download,http://datos.imss.gob.mx/node/299/download
2006,july,http://datos.imss.gob.mx/node/294/download,http://datos.imss.gob.mx/node/,300,/download,http://datos.imss.gob.mx/node/300/download,http://datos.imss.gob.mx/node/300/download
2006,august,http://datos.imss.gob.mx/node/294/download,http://datos.imss.gob.mx/node/,301,/download,http://datos.imss.gob.mx/node/301/download,http://datos.imss.gob.mx/node/301/download
2006,september,http://datos.imss.gob.mx/node/294/download,http://datos.imss.gob.mx/node/,302,/download,http://datos.imss.gob.mx/node/302/download,http://datos.imss.gob.mx/node/302/download
2006,october,http://datos.imss.gob.mx/node/294/download,http://datos.imss.gob.mx/node/,303,/download,http://datos.imss.gob.mx/node/303/download,http://datos.imss.gob.mx/node/303/download
2006,november,http://datos.imss.gob.mx/node/294/download,http://datos.imss.gob.mx/node/,304,/download,http://datos.imss.gob.mx/node/304/download,http://datos.imss.gob.mx/node/304/download
2006,december,http://datos.imss.gob.mx/node/294/download,http://datos.imss.gob.mx/node/,305,/download,http://datos.imss.gob.mx/node/305/download,http://datos.imss.gob.mx/node/305/download
2007,january,http://datos.imss.gob.mx/node/281/download,http://datos.imss.gob.mx/node/,281,/download,http://datos.imss.gob.mx/node/281/download,http://datos.imss.gob.mx/node/281/download
2007,february,http://datos.imss.gob.mx/node/281/download,http://datos.imss.gob.mx/node/,282,/download,http://datos.imss.gob.mx/node/282/download,http://datos.imss.gob.mx/node/282/download
2007,march,http://datos.imss.gob.mx/node/281/download,http://datos.imss.gob.mx/node/,283,/download,http://datos.imss.gob.mx/node/283/download,http://datos.imss.gob.mx/node/283/download
2007,april,http://datos.imss.gob.mx/node/281/download,http://datos.imss.gob.mx/node/,284,/download,http://datos.imss.gob.mx/node/284/download,http://datos.imss.gob.mx/node/284/download
2007,may,http://datos.imss.gob.mx/node/281/download,http://datos.imss.gob.mx/node/,285,/download,http://datos.imss.gob.mx/node/285/download,http://datos.imss.gob.mx/node/285/download
2007,june,http://datos.imss.gob.mx/node/281/download,http://datos.imss.gob.mx/node/,286,/download,http://datos.imss.gob.mx/node/286/download,http://datos.imss.gob.mx/node/286/download
2007,july,http://datos.imss.gob.mx/node/281/download,http://datos.imss.gob.mx/node/,287,/download,http://datos.imss.gob.mx/node/287/download,http://datos.imss.gob.mx/node/287/download
2007,august,http://datos.imss.gob.mx/node/281/download,http://datos.imss.gob.mx/node/,288,/download,http://datos.imss.gob.mx/node/288/download,http://datos.imss.gob.mx/node/288/download
2007,september,http://datos.imss.gob.mx/node/281/download,http://datos.imss.gob.mx/node/,289,/download,http://datos.imss.gob.mx/node/289/download,http://datos.imss.gob.mx/node/289/download
2007,october,http://datos.imss.gob.mx/node/281/download,http://datos.imss.gob.mx/node/,290,/download,http://datos.imss.gob.mx/node/290/download,http://datos.imss.gob.mx/node/290/download
2007,november,http://datos.imss.gob.mx/node/281/download,http://datos.imss.gob.mx/node/,291,/download,http://datos.imss.gob.mx/node/291/download,http://datos.imss.gob.mx/node/291/download
2007,december,http://datos.imss.gob.mx/node/281/download,http://datos.imss.gob.mx/node/,292,/download,http://datos.imss.gob.mx/node/292/download,http://datos.imss.gob.mx/node/292/download
2008,january,http://datos.imss.gob.mx/node/262/download,http://datos.imss.gob.mx/node/,262,/download,http://datos.imss.gob.mx/node/262/download,http://datos.imss.gob.mx/node/262/download
2008,february,http://datos.imss.gob.mx/node/262/download,http://datos.imss.gob.mx/node/,264,/download,http://datos.imss.gob.mx/node/264/download,http://datos.imss.gob.mx/node/264/download
2008,march,http://datos.imss.gob.mx/node/262/download,http://datos.imss.gob.mx/node/,265,/download,http://datos.imss.gob.mx/node/265/download,http://datos.imss.gob.mx/node/265/download
2008,april,http://datos.imss.gob.mx/node/262/download,http://datos.imss.gob.mx/node/,266,/download,http://datos.imss.gob.mx/node/266/download,http://datos.imss.gob.mx/node/266/download
2008,may,http://datos.imss.gob.mx/node/262/download,http://datos.imss.gob.mx/node/,267,/download,http://datos.imss.gob.mx/node/267/download,http://datos.imss.gob.mx/node/267/download
2008,june,http://datos.imss.gob.mx/node/262/download,http://datos.imss.gob.mx/node/,268,/download,http://datos.imss.gob.mx/node/268/download,http://datos.imss.gob.mx/node/268/download
2008,july,http://datos.imss.gob.mx/node/262/download,http://datos.imss.gob.mx/node/,269,/download,http://datos.imss.gob.mx/node/269/download,http://datos.imss.gob.mx/node/269/download
2008,august,http://datos.imss.gob.mx/node/262/download,http://datos.imss.gob.mx/node/,270,/download,http://datos.imss.gob.mx/node/270/download,http://datos.imss.gob.mx/node/270/download
2008,september,http://datos.imss.gob.mx/node/262/download,http://datos.imss.gob.mx/node/,271,/download,http://datos.imss.gob.mx/node/271/download,http://datos.imss.gob.mx/node/271/download
2008,october,http://datos.imss.gob.mx/node/262/download,http://datos.imss.gob.mx/node/,272,/download,http://datos.imss.gob.mx/node/272/download,http://datos.imss.gob.mx/node/272/download
2008,november,http://datos.imss.gob.mx/node/262/download,http://datos.imss.gob.mx/node/,273,/download,http://datos.imss.gob.mx/node/273/download,http://datos.imss.gob.mx/node/273/download
2008,december,http://datos.imss.gob.mx/node/262/download,http://datos.imss.gob.mx/node/,277,/download,http://datos.imss.gob.mx/node/277/download,http://datos.imss.gob.mx/node/277/download
2009,january,http://datos.imss.gob.mx/node/158/download,http://datos.imss.gob.mx/node/,158,/download,http://datos.imss.gob.mx/node/158/download,http://datos.imss.gob.mx/node/158/download
2009,february,http://datos.imss.gob.mx/node/158/download,http://datos.imss.gob.mx/node/,160,/download,http://datos.imss.gob.mx/node/160/download,http://datos.imss.gob.mx/node/160/download
2009,march,http://datos.imss.gob.mx/node/158/download,http://datos.imss.gob.mx/node/,161,/download,http://datos.imss.gob.mx/node/161/download,http://datos.imss.gob.mx/node/161/download
2009,april,http://datos.imss.gob.mx/node/158/download,http://datos.imss.gob.mx/node/,168,/download,http://datos.imss.gob.mx/node/168/download,http://datos.imss.gob.mx/node/168/download
2009,may,http://datos.imss.gob.mx/node/158/download,http://datos.imss.gob.mx/node/,180,/download,http://datos.imss.gob.mx/node/180/download,http://datos.imss.gob.mx/node/180/download
2009,june,http://datos.imss.gob.mx/node/158/download,http://datos.imss.gob.mx/node/,182,/download,http://datos.imss.gob.mx/node/182/download,http://datos.imss.gob.mx/node/182/download
2009,july,http://datos.imss.gob.mx/node/158/download,http://datos.imss.gob.mx/node/,183,/download,http://datos.imss.gob.mx/node/183/download,http://datos.imss.gob.mx/node/183/download
2009,august,http://datos.imss.gob.mx/node/158/download,http://datos.imss.gob.mx/node/,184,/download,http://datos.imss.gob.mx/node/184/download,http://datos.imss.gob.mx/node/184/download
2009,september,http://datos.imss.gob.mx/node/158/download,http://datos.imss.gob.mx/node/,185,/download,http://datos.imss.gob.mx/node/185/download,http://datos.imss.gob.mx/node/185/download
2009,october,http://datos.imss.gob.mx/node/158/download,http://datos.imss.gob.mx/node/,186,/download,http://datos.imss.gob.mx/node/186/download,http://datos.imss.gob.mx/node/186/download
2009,november,http://datos.imss.gob.mx/node/158/download,http://datos.imss.gob.mx/node/,187,/download,http://datos.imss.gob.mx/node/187/download,http://datos.imss.gob.mx/node/187/download
2009,december,http://datos.imss.gob.mx/node/158/download,http://datos.imss.gob.mx/node/,188,/download,http://datos.imss.gob.mx/node/188/download,http://datos.imss.gob.mx/node/188/download
2010,january,http://datos.imss.gob.mx/node/169/download,http://datos.imss.gob.mx/node/,169,/download,http://datos.imss.gob.mx/node/169/download,http://datos.imss.gob.mx/node/169/download
2010,february,http://datos.imss.gob.mx/node/169/download,http://datos.imss.gob.mx/node/,170,/download,http://datos.imss.gob.mx/node/170/download,http://datos.imss.gob.mx/node/170/download
2010,march,http://datos.imss.gob.mx/node/169/download,http://datos.imss.gob.mx/node/,171,/download,http://datos.imss.gob.mx/node/171/download,http://datos.imss.gob.mx/node/171/download
2010,april,http://datos.imss.gob.mx/node/169/download,http://datos.imss.gob.mx/node/,172,/download,http://datos.imss.gob.mx/node/172/download,http://datos.imss.gob.mx/node/172/download
2010,may,http://datos.imss.gob.mx/node/169/download,http://datos.imss.gob.mx/node/,173,/download,http://datos.imss.gob.mx/node/173/download,http://datos.imss.gob.mx/node/173/download
2010,june,http://datos.imss.gob.mx/node/169/download,http://datos.imss.gob.mx/node/,174,/download,http://datos.imss.gob.mx/node/174/download,http://datos.imss.gob.mx/node/174/download
2010,july,http://datos.imss.gob.mx/node/169/download,http://datos.imss.gob.mx/node/,175,/download,http://datos.imss.gob.mx/node/175/download,http://datos.imss.gob.mx/node/175/download
2010,august,http://datos.imss.gob.mx/node/169/download,http://datos.imss.gob.mx/node/,176,/download,http://datos.imss.gob.mx/node/176/download,http://datos.imss.gob.mx/node/176/download
2010,september,http://datos.imss.gob.mx/node/169/download,http://datos.imss.gob.mx/node/,177,/download,http://datos.imss.gob.mx/node/177/download,http://datos.imss.gob.mx/node/177/download
2010,october,http://datos.imss.gob.mx/node/169/download,http://datos.imss.gob.mx/node/,178,/download,http://datos.imss.gob.mx/node/178/download,http://datos.imss.gob.mx/node/178/download
2010,november,http://datos.imss.gob.mx/node/169/download,http://datos.imss.gob.mx/node/,179,/download,http://datos.imss.gob.mx/node/179/download,http://datos.imss.gob.mx/node/179/download
